V4,code,commodity,parent,Family Or Group,General Groups
H2,30264,"030264 - -- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",3026,MACKEREL,MACKEREL
H3,30264,"030264 - --  Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",3026,MACKEREL,MACKEREL
H2,30265,030265 - -- Dogfish and Other sharks,3026,DOGFISH & OTHER SHARKS,DOGFISH & OTHER SHARKS
H3,30265,030265 - --  Dogfish and other sharks,3026,DOGFISH & OTHER SHARKS,DOGFISH & OTHER SHARKS
H2,30266,030266 - -- Eels (Anguilla spp.),3026,EELS,EELS
H3,30266,030266 - --  Eels (Anguilla spp.),3026,EELS,EELS
H3,30267,030267 - --  Swordfish (Xiphias gladius),3026,SWORDFISH,SWORDFISH
H3,30268,030268 - --  Toothfish (Dissostichus spp.),3026,TOOTHFISH,TOOTHFISH
H2,30269,"030269 
Name: Fish, n.e.s., fresh/chilled (excl. fillets/oth. fish meat of 03.04/livers & ...
Description: Fish, n.e.s., fresh/chilled (excl. fillets/oth. fish meat of 03.04/livers & roes)",3026,FISH (N.E.S),FISH (N.E.S)
H3,30269,"030269
Name: Fish,n.e.s. in 03.02, fresh/chilled(excl. fillets/other fish meat of 03.04/livers & roes).
Description: -- Other",3026,FISH (N.E.S),FISH (N.E.S)
H2,30270,"030270 
Name: Fish livers & roes, fresh/chilled
Description: Fish livers & roes, fresh/chilled",302,FISH (N.E.S),FISH (N.E.S)
H3,30270,"030270 - - 
Name: Fish livers & roes, fresh/chilled
Description: - Livers and roes",302,FISH (N.E.S),FISH (N.E.S)
H4,30271,030271 - -- Tilapias (Oreochromis spp.),3027,TILAPIAS,TILAPIAS
H4,30272,"030272 - -- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",3027,CATFISH,CATFISH
H4,30273,"030273 - -- Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",3027,CARP,CARP
H4,30274,030274 - -- Eels (Anguilla spp.),3027,EELS,EELS
H4,30279,"030279 - 
 Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04. // - Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding livers and roes : // -- Other
Description: -- Other",3027,"TILAPIAS, CATFISH, CARP, EELS, NILE PERCH AND SNAKEHEADS",TILAPIAS
H4,30281,030281 - -- Dogfish and other sharks,3028,DOGFISH & OTHER SHARKS,DOGFISH & OTHER SHARKS
H4,30282,030282 - -- Rays and skates (Rajidae),3028,RAYS AND SKATES,RAYS AND SKATES
H4,30283,030283 - -- Toothfish (Dissostichus spp.),3028,TOOTHFISH,TOOTHFISH
H4,30284,030284 - -- Seabass (Dicentrarchus spp.),3028,SEABASS,SEABASS
H4,30285,030285 - -- Seabream (Sparidae),3028,SEABREAM,SEABREAM
H4,30289,"030289
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04. // - Other fish, excluding livers and roes : // -- Other
Description: -- Other",3028,OTHER FISH,OTHER FISH
H4,30290,"030290
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04. // -Livers and roes
Description: -Livers and roes",302,OTHER FISH,OTHER FISH
H2,30311,030311 - -- Sockeye salmon (red salmon) (Oncorhynchus nerka),3031,SOCKEYE SALMON,SALMON
H3,30311,030311 - --  Sockeye salmon (red salmon) (Oncorhynchus nerka),3031,SOCKEYE SALMON,SALMON
H4,30311,030311 - -- Sockeye salmon (red salmon) (Oncorhynchus nerka),3031,SOCKEYE SALMON,SALMON
H4,30312,"030312 - -- Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",3031,OTHER PACIFIC SALMON,SALMON
H4,30313,030313 - -- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),3031,ATLANTIC SALMON AND DANUBE SALMON,SALMON
H4,30314,"030314 - -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",3031,TROUT,TROUT
H2,30319,"030319
Name: Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rhod ...
Description: Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), frozen (excl. of 0303.11; excl. fillets/oth. fish meat of 03.04/livers & roes)",3031,PACIFIC SALMON,SALMON
H3,30319,"030319 
Name: Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), frozen (excl. of 0303.11; excl. fillets/other fish meat of 03.04/livers & roes)
Description: -- Other",3031,PACIFIC SALMON,SALMON
H4,30319,"030319 
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, frozen, excluding fish fillets and other fish meat of heading03.04. // - Salmonidae, excluding livers and roes : // -- Other
Description: -- Other",3031,OTHER SALMONIDAE,OTHER FISH
H2,30321,"030321 - -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",3032,TROUT,TROUT
H3,30321,"030321 - --  Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",3032,TROUT,TROUT
H2,30322,030322 - -- Atlantic salmon (Salmo salar) and Danube salmon (Hucho Hucho),3032,ATLANTIC AND DANUBE SALMON,SALMON
H3,30322,030322 - --  Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),3032,ATLANTIC AND DANUBE SALMON,SALMON
H4,30323,030323 - -- Tilapias (Oreochromis spp.),3032,TILAPIAS,TILAPIAS
H4,30324,"030324 - -- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",3032,CATFISH,CATFISH
H4,30325,"030325 - -- Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",3032,CARP,CARP
H4,30326,030326 - -- Eels (Anguilla spp.),3032,EELS,EELS
H2,30329,"030329 
Name: Salmonidae (excl. of 0303.21 & 0303.22), frozen (excl. fillets/oth. fish me ...
Description: Salmonidae (excl. of 0303.21 & 0303.22), frozen (excl. fillets/oth. fish meat of 03.04/livers & roes)",3032,OTHER SALMONIDAE,OTHER FISH
H3,30329,"030329 
 Name: Salmonidae (excl. of 0303.21 & 0303.22), frozen (excl. fillets/other fish meat of 03.04/livers & roes)
Description: -- Other",3032,OTHER SALMONIDAE,OTHER FISH
H4,30329,"030329 
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, frozen, excluding fish fillets and other fish meat of heading03.04. // - Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cypri
Description: -- Other",3032,"TILAPIAS, CATFISH, CARP, EELS, NILE PERCH AND SNAKEHEADS",TILAPIAS
H2,30331,"030331 - -- Halibut (Reinhardtius hippoglossoides, Hippoglossus Hippoglossus, Hippoglossus stenolepis)",3033,HALIBUT,HALIBUT
H3,30331,"030331 - --  Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",3033,HALIBUT,HALIBUT
H4,30331,"030331 - -- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",3033,HALIBUT,HALIBUT
H2,30332,030332 - -- Plaice (Pleuronectes platessa),3033,PLAICE,PLAICE
H3,30332,030332 - --  Plaice (Pleuronectes platessa),3033,PLAICE,PLAICE
H4,30332,030332 - -- Plaice (Pleuronectes platessa),3033,PLAICE,PLAICE
H2,30333,030333 - -- Sole (Solea spp.),3033,SOLE,SOLE
H3,30333,030333 - --  Sole (Solea spp.),3033,SOLE,SOLE
H4,30333,030333 - -- Sole (Solea spp.),3033,SOLE,SOLE
H4,30334,"030334 - -- Turbots (Psetta maxima, Scophthalmidae)",3033,TURBOTS,TURBOTS
H2,30339,"030339
 Name: Flat fish (excl. of 0303.31-0303.33) [see list of conventions for species i ...
Description: Flat fish (excl. of 0303.31-0303.33) [see list of conventions for species included], frozen (excl. fillets/oth. fish meat of 03.04/livers & roes)",3033,FLAT FISH,FLAT FISH
H3,30339,"030339
Name: Flat fish (excl. of 0303.31-0303.33) [see list of conventions for species incld.], frozen (excl. fillets/other fish meat of 03.04/livers & roes)
Description: -- Other",3033,FLAT FISH,FLAT FISH
H4,30339,"030339 
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, frozen, excluding fish fillets and other fish meat of heading03.04. // - Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding livers
Description: -- Other",3033,FLAT FISH,FLAT FISH
H2,30341," Name: Albacore/longfinned tunas (Thunnus alalunga), frozen (excl. fillets/oth. fi ...
Description: Albacore/longfinned tunas (Thunnus alalunga), frozen (excl. fillets/oth. fish meat of 03.04/livers & roes)",3034,ALBACORE OR LONGFINNED TUNAS,TUNA
H3,30341,"Name: Albacore/longfinned tunas (Thunnus alalunga), frozen (excl. fillets/other fish meat of 03.04/livers & roes)
Description: -- Albacore or longfinned tunas (Thunnus alalunga)",3034,ALBACORE OR LONGFINNED TUNAS,TUNA
H4,30341,"Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, frozen, excluding fish fillets and other fish meat of heading03.04. // - Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding li
Description: -- Albacore or longfinned tunas (Thunnus alalunga)",3034,ALBACORE OR LONGFINNED TUNAS,TUNA
H2,30342,030342 - -- Yellowfin Tunas (Thunnus albacares),3034,YELLOWFIN TUNAS,TUNA
H3,30342,030342 - --  Yellowfin tunas (Thunnus albacares),3034,YELLOWFIN TUNAS,TUNA
H4,30342,030342 - -- Yellowfin tunas (Thunnus albacares),3034,YELLOWFIN TUNAS,TUNA
H2,30343,030343 - -- skipjack or strip-bellied bonito,3034,SKIPJACK OR STRIP-BELLIED BONITO,TUNA
H3,30343,030343 - --  Skipjack or strip-bellied bonito,3034,SKIPJACK OR STRIP-BELLIED BONITO,TUNA
H4,30343,030343 - -- Skipjack or strip-bellied bonito,3034,SKIPJACK OR STRIP-BELLIED BONITO,TUNA
H2,30344,030344 - -- Bigeye Tunas (Thunnus obesus),3034,BIGEYE TUNAS,TUNA
H3,30344,030344 - --  Bigeye tunas (Thunnus obesus),3034,BIGEYE TUNAS,TUNA
H4,30344,030344 - -- Bigeye tunas (Thunnus obesus),3034,BIGEYE TUNAS,TUNA
H2,30345,030345 - -- Bluefin Tunas (Thunnus thynnus),3034,BLUEFIN TUNAS,TUNA
H3,30345,030345 - --  Bluefin tunas (Thunnus thynnus),3034,BLUEFIN TUNAS,TUNA
H4,30345,"030345 - -- Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",3034,ATLANTIC AND PACIFIC BLUEFIN TUNAS,TUNA
H2,30346,030346 - -- Southern Bluefin Tunas (Thunnus maccoyii),3034,SOUTHERN BLUEFIN TUNAS,TUNA
H3,30346,030346 - --  Southern bluefin tunas (Thunnus maccoyii),3034,SOUTHERN BLUEFIN TUNAS,TUNA
H4,30346,030346 - -- Southern bluefin tunas (Thunnus maccoyii),3034,SOUTHERN BLUEFIN TUNAS,TUNA
H2,30349,"030349
Tunas (excl. of 0303.41-0303.46), frozen (excl. fillets/oth. fish meat of 0 ...
Description: Tunas (excl. of 0303.41-0303.46), frozen (excl. fillets/oth. fish meat of 03.04/livers & roes)",3034,OTHER TUNA,TUNA
